USD/CNY
Tenor,SettlementDate,BidPoints,AskPoints,BidOutright,AskOutright
SP,2026/1/2,7.0350,7.0450,7.0350,7.0450
1W,2026/1/9,7.0500,7.0600,7.0500,7.0600
1M,2026/2/2,7.1200,7.1300,7.1200,7.1300
2M,2026/3/2,7.1800,7.1900,7.1800,7.1900
3M,2026/4/2,7.2500,7.2600,7.2500,7.2600
6M,2026/7/2,7.4500,7.4600,7.4500,7.4600

EURUSD
Tenor,SettlementDate,BidPoints,AskPoints,BidOutright,AskOutright
SP,2026/1/2,0.0012,0.0013,1.1775,1.1776
1M,2026/2/2,0.0174,0.0175,1.1792,1.1793
2M,2026/3/2,0.0345,0.0350,1.1815,1.1820
3M,2026/4/2,0.0520,0.0525,1.1840,1.1845

JPY/CNY
Tenor,SettlementDate,BidPoints,AskPoints,BidOutright,AskOutright
SP,2026/1/2,0.0050,0.0055,0.0450,0.0455
1M,2026/2/2,0.0500,0.0550,0.0450,0.0455
